"ISO_id","reg_translit","reg_name","reg_database"
"643-101","Adygeya","Республика Адыгея","Adygeja_Resp"
"643-712","Aginsk Buryat a.o.","Агинский Бурятский авт.округ","Zabajkalskij_kraj_Aginskij_Burjatskij_okrug"
"643-301","Altai krai","Алтайский край","Altajskij_kraj"
"643-308","Amur oblast","Амурская область","Amurskaja_obl"
"643-314","Arkhangelsk oblast","Архангельская область","Arkhangelskaja_obl"
"643-320","Astrakhan oblast","Астраханская область","Astrakhanskaja_obl"
"643-109","Bashkortostan","Республика Башкортостан","Bashkortostan_Resp"
"643-326","Belgorod oblast","Белгородская область","Belgorodskaja_obl"
"643-332","Bryansk oblast","Брянская область","Brjanskaja_obl"
"643-113","Buryatia","Республика Бурятия","Burjatija_Resp"
"643-173","Chechen Republic","Чеченская Республика","Chechenskaja_Resp"
"643-618","Chelyabinsk oblast","Челябинская область","Cheljabinskaja_obl"
"643-754","Chukotka a.o.","Чукотский авт.округ","Chukotskij_AO"
"643-177","Chuvashia","Чувашская Республика","Chuvashskaja_Respublika_-_Chuvashija"
"643-117","Daghestan","Республика Дагестан","Dagestan_Resp"
"643-760","Evenk a.o.","Эвенкийский авт.окpуг","NA"
"643-121","Ingushetia","Республика Ингушетия","Ingushetija_Resp"
"643-368","Irkutsk oblast","Иркутская область","Irkutskaja_obl"
"643-362","Ivanovo oblast","Ивановская область","Ivanovskaja_obl"
"643-701","Jewish a.o.","Еврейская автономная область","Evrejskaja_Aobl"
"643-125","Kabardino-Balkaria","Кабардино-Балкарская Республика","Kabardino-Balkarskaja_Resp"
"643-374","Kaliningrad oblast","Калининградская область","Kaliningradskaja_obl"
"643-129","Kalmykia","Республика Калмыкия","Kalmykija_Resp"
"643-380","Kaluga oblast","Калужская область","Kaluzhskaja_obl"
"643-386","Kamchatka krai","Камчатский край","Kamchatskij_kraj"
"643-133","Karachayevo-Cherkessia","Карачаево-Черкесская Республика","Karachaevo-Cherkesskaja_Resp"
"643-137","Karelia","Республика Карелия","Karelija_Resp"
"643-392","Kemerovo oblast","Кемеровская область","Kemerovskaja_obl"
"643-612","Khabarovsk krai","Хабаровский край","Khabarovskij_kraj"
"643-169","Khakassia","Республика Хакасия","Khakasija_Resp"
"643-748","Khanty-Mansijsk a.o.","Ханты-Мансийский авт.округ-Югра","Khanty-Mansijskij_Avtonomnyj_okrug_-_Jugra_AO"
"643-398","Kirov oblast","Кировская область","Kirovskaja_obl"
"643-141","Komi Republic","Республика Коми","Komi_Resp"
"643-718","Komi-Permyatski a.o.","Коми-Пермяцкий авт.округ","NA"
"643-724","Koryak a.o.","Корякский авт.округ","NA"
"643-404","Kostroma oblast","Костромская область","Kostromskaja_obl"
"643-410","Krasnodar krai","Краснодарский край","Krasnodarskij_kraj"
"643-416","Krasnoyarsk krai","Красноярский край","Krasnojarskij_kraj"
"643-422","Kurgan oblast","Курганская область","Kurganskaja_obl"
"643-428","Kursk oblast","Курская область","Kurskaja_obl"
"643-434","Leningrad oblast","Ленинградская область","Leningradskaja_obl"
"643-440","Lipetsk oblast","Липецкая область","Lipeckaja_obl"
"643-446","Magadan oblast","Магаданская область","Magadanskaja_obl"
"643-145","Marij El","Республика Марий Эл","Marij_El_Resp"
"643-149","Mordovia","Республика Мордовия","Mordovija_Resp"
"643-001","Moscow (city)","г. Москва","Moskva"
"643-452","Moscow oblast","Московская область","Moskovskaja_obl"
"643-458","Murmansk oblast","Мурманская область","Murmanskaja_obl"
"643-730","Nenets a.o.","Ненецкий авт.округ","Neneckij_AO"
"643-464","Nizhni Novgorod oblast","Нижегородская область","Nizhegorodskaja_obl"
"643-153","North Ossetia-Alania","Республика Северная Осетия - Алания","Severnaja_Osetija_-_Alanija_Resp"
"643-470","Novgorod oblast","Новгородская область","Novgorodskaja_obl"
"643-476","Novosibirsk oblast","Новосибирская область","Novosibirskaja_obl"
"643-484","Omsk oblast","Омская область","Omskaja_obl"
"643-490","Orenburg oblast","Оренбургская область","Orenburgskaja_obl"
"643-496","Oryol oblast","Орловская область","Orlovskaja_obl"
"643-504","Penza oblast","Пензенская область","Penzenskaja_obl"
"643-510","Perm krai","Пермский край","Permskij_kraj"
"643-516","Primorie","Приморский край","Primorskij_kraj"
"643-522","Pskov oblast","Псковская область","Pskovskaja_obl"
"643-105","Republic of Altai","Республика Алтай","Altaj_Resp"
"643-181","Republic of Sakha (Yakutia)","Республика Саха (Якутия)","Sakha_Jakutija_Resp"
"643-528","Rostov oblast","Ростовская область","Rostovskaja_obl"
"643-534","Ryazan oblast","Рязанская область","Rjazanskaja_obl"
"643-002","Saint-Petersburg","г. Санкт-Петербург","Sankt-Peterburg"
"643-552","Sakhalin oblast","Сахалинская область","Sakhalinskaja_obl"
"643-540","Samara oblast","Самарская область","Samarskaja_obl"
"643-546","Saratov oblast","Саратовская область","Saratovskaja_obl"
"643-564","Smolensk oblast","Смоленская область","Smolenskaja_obl"
"643-570","Stavropol krai","Ставропольский край","Stavropolskij_kraj"
"643-558","Sverdlovsk oblast","Свердловская область","Sverdlovskaja_obl"
"643-736","Taimyr (Dolgano-Nenets) a.o.","Таймырский (Долгано-Ненецкий) авт.округ","NA"
"643-576","Tambov oblast","Тамбовская область","Tambovskaja_obl"
"643-157","Tatarstan","Республика Татарстан","Tatarstan_Resp"
"643-600","Tiumen oblast","Тюменская область","Tjumenskaja_obl"
"643-588","Tomsk oblast","Томская область","Tomskaja_obl"
"643-594","Tula oblast","Тульская область","Tulskaja_obl"
"643-161","Tuva","Республика Тыва","Tyva_Resp"
"643-582","Tver oblast","Тверская область","Tverskaja_obl"
"643-165","Udmurtia","Удмуртская Республика","Udmurtskaja_Resp"
"643-606","Ulyanovsk oblast","Ульяновская область","Uljanovskaja_obl"
"643-742","Ust-Ordyn Buryat a.o.","Усть-Ордынский Бурятский авт.округ","NA"
"643-338","Vladimir oblast","Владимирская область","Vladimirskaja_obl"
"643-344","Volgograd oblast","Волгоградская область","Volgogradskaja_obl"
"643-350","Vologda oblast","Вологодская область","NA"
"643-356","Voronezh oblast","Воронежская область","Voronezhskaja_obl"
"643-766","Yamalo-Nenets a.o.","Ямало-Ненецкий авт.округ","Jamalo-Neneckij_AO"
"643-630","Yaroslavl oblast","Ярославская область","Jaroslavskaja_obl"
"643-624","Zabaikal krai","Забайкальский край","Zabajkalskij_kraj"
